Linear,Runge,MonteCarlo1,MonteCarlo2
8,6.08935815623,3.72531118639,3.71326318602
16,12.5432248815,7.39293437325,7.43711352149
24,18.6170787493,9.5458566887,10.8747681366
32,25.2575359037,13.1375915718,14.841995842
40,28.9193126928,15.1549508567,18.6354573366
48,37.7313922984,17.0587366847,22.3015162042
56,43.4994703946,18.3646112061,25.988565776
