PModel,Task,OpType,Opt,InsCount,Timer,Time,LNum,AvTime,AbsError,RelError,TaskPerf
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O2,10,gettimeofday,0.000413418,3,0.000417686,4.26769e-06,1.0323%,2.41886e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O2,10,gettimeofday,0.000373602,4,0.000417686,4.40836e-05,11.7996%,2.67665e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O2,10,gettimeofday,0.000388384,5,0.000417686,2.93016e-05,7.54451%,2.57477e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O2,10,gettimeofday,0.000455141,6,0.000417686,3.74556e-05,8.22944%,2.19712e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O2,10,gettimeofday,0.00044632,7,0.000417686,2.86341e-05,6.4156%,2.24055e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O2,10,gettimeofday,0.000379086,8,0.000417686,3.86e-05,10.1824%,2.63793e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O2,10,gettimeofday,0.000375271,9,0.000417686,4.24147e-05,11.3024%,2.66474e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O2,10,gettimeofday,0.000537157,10,0.000417686,0.000119472,22.2415%,1.86165e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O2,10,gettimeofday,0.00036788,1,0.000380349,1.24693e-05,3.3895%,2.71828e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O2,10,gettimeofday,0.000382662,2,0.000380349,2.31266e-06,0.604361%,2.61327e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O2,10,gettimeofday,0.0004251,3,0.000380349,4.47512e-05,10.5272%,2.35239e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O2,10,gettimeofday,0.000396013,4,0.000380349,1.56641e-05,3.95545%,2.52517e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O2,10,gettimeofday,0.000374556,5,0.000380349,5.79357e-06,1.54679%,2.66983e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O2,10,gettimeofday,0.000359774,6,0.000380349,2.05755e-05,5.71902%,2.77953e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O2,10,gettimeofday,0.000366926,7,0.000380349,1.3423e-05,3.65822%,2.72534e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O2,10,gettimeofday,0.000362158,8,0.000380349,1.81913e-05,5.02304%,2.76123e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O2,10,gettimeofday,0.000391483,9,0.000380349,1.11341e-05,2.84409%,2.55439e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O2,10,gettimeofday,0.00037694,10,0.000380349,3.40939e-06,0.904491%,2.65294e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O2,10,gettimeofday,0.000509024,1,0.000441694,6.73294e-05,13.2272%,1.96455e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O2,10,gettimeofday,0.00053215,2,0.000441694,9.0456e-05,16.9982%,1.87917e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O2,10,gettimeofday,0.000437498,3,0.000441694,4.19617e-06,0.959128%,2.28572e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O2,10,gettimeofday,0.000603199,4,0.000441694,0.000161505,26.7747%,1.65783e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O2,10,gettimeofday,0.000438929,5,0.000441694,2.76566e-06,0.630092%,2.27827e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O2,10,gettimeofday,0.000371933,6,0.000441694,6.97613e-05,18.7564%,2.68866e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O2,10,gettimeofday,0.000372648,7,0.000441694,6.9046e-05,18.5285%,2.6835e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O2,10,gettimeofday,0.000370502,8,0.000441694,7.11918e-05,19.2149%,2.69904e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O2,10,gettimeofday,0.00039959,9,0.000441694,4.21047e-05,10.537%,2.50257e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O2,10,gettimeofday,0.00038147,10,0.000441694,6.02245e-05,15.7875%,2.62144e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O2,10,gettimeofday,0.000368595,1,0.000412297,4.37021e-05,11.8564%,2.713e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O2,10,gettimeofday,0.000383377,2,0.000412297,2.89202e-05,7.54353%,2.6084e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O2,10,gettimeofday,0.000349283,3,0.000412297,6.3014e-05,18.041%,2.86301e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O2,10,gettimeofday,0.000377655,4,0.000412297,3.46422e-05,9.17298%,2.64792e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O2,10,gettimeofday,0.00043416,5,0.000412297,2.1863e-05,5.03569%,2.3033e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O2,10,gettimeofday,0.00051856,6,0.000412297,0.000106263,20.492%,1.92842e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O2,10,gettimeofday,0.000415802,7,0.000412297,3.50475e-06,0.84289%,2.40499e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O2,10,gettimeofday,0.000380754,8,0.000412297,3.15428e-05,8.28428%,2.62636e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O2,10,gettimeofday,0.000386238,9,0.000412297,2.60592e-05,6.74691%,2.58908e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,double,O2,10,gettimeofday,0.000508547,10,0.000412297,9.62496e-05,18.9264%,1.96639e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O2,10,gettimeofday,0.000386238,1,0.000411081,2.48432e-05,6.4321%,2.58908e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O2,10,gettimeofday,0.0006001,2,0.000411081,0.000189018,31.4978%,1.66639e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O2,10,gettimeofday,0.000434875,3,0.000411081,2.37942e-05,5.47149%,2.29951e+07
